group,chem,dose,replicate,gene
Control,DMSO,Control,s2,CAPZA1
PAH,DBP,(0.0313,s2,MOV10
Other,Sudan,I,s2,PPM1J
Drug Therapy,Ellipticine,(0.375,s1,FAM19A3
Alkylating Agent,DMH,(11.6,s2,FAM19A3
PAH,DBADE,(0.0313,s3,RP11-426L16.8
Aldehydes,Acetaldehyde,(12,s1,RP11-426L16.8
PAH,DBADE,(0.109,s6,RP11-426L16.8
Drug Therapy,Ellipticine,(0.375,s2,RP3-522D1.1
PAH,5-Methylchrysene,(1.6,s1,RP3-522D1.1
Radiation,SSR,(1.25,s4,RP3-522D1.1
Alkylating Agent,DMH,(11.6,s2,SLC16A1
PAH,DBADE,(0.0313,s3,SLC16A1
PAH,DBADE,(0.109,s5,UBIAD1
PAH,DBADE,(0.109,s6,LRIG2
PAH,DBA,(75,s1,LRIG2
PAH,BPDE,(0.125,s3,MAGI3
Aromatic Amine,4-ABP,(300,s2,MAGI3
Drug Therapy,Temozolomide,(200,s1,MAGI3
Drug Therapy,Temozolomide,(200,s2,MAGI3
Other,Methyleugenol,(1.9,s1,MAGI3
PAH,DBADE,(0.109,s6,MAGI3
PAH,DBADE,(0.109,s1,MAGI3
PAH,BPDE,(0.125,s1,MAGI3
Alkylating Agent,MMS,(100,s1,MAGI3
Radiation,SSR,(1.25,s4,MAGI3
PAH,DBADE,(0.109,s5,MAGI3
Alkylating Agent,DMH,(11.6,s1,MAGI3
Drug Therapy,Mitomycin,C,s2,MAGI3
Other,AAI,(1.25,s3,MAGI3
Other,AAI,(1.25,s3,MAGI3
PAH,BPDE,(0.125,s2,MAGI3
PAH,DBADE,(0.109,s6,TNFRSF18
PAH,DBA,(75,s2,PTPN22
Drug Therapy,Ellipticine,(0.375,s2,PTPN22
PAH,DBADE,(0.109,s6,BCL2L15
Radiation,SSR,(1.25,s6,AP4B1
Radiation,SSR,(1.25,s4,HIPK1
PAH,DBADE,(0.109,s5,TNFRSF18
Other,Acrylamide,(9.5,s2,SYT6
PAH,DBADE,(0.0313,s3,SYT6
PAH,DBA,(75,s1,SYT6
PAH,DBADE,(0.109,s1,SYT6
PAH,DBADE,(0.0313,s1,RP4-543J13.1
Aromatic Amine,o-Anisidine,(6,s2,RP4-543J13.1
Control,DMSO,Control,s1,RP4-543J13.1
PAH,DBADE,(0.109,s6,RP4-543J13.1
Alkylating Agent,DMH,(9,s3,RP4-543J13.1
Nitro-PAH,"1,8-DNP",(8,s1,RP4-543J13.1
Aromatic Amine,"2,6-Dimethylaniline",(3.8,s1,TRIM33
Aromatic Amine,2-Naphthylamine,(200,s5,TRIM33
Drug Therapy,Ellipticine,(0.375,s3,TRIM33
PAH,DBA,(75,s1,TRIM33
Drug Therapy,Temozolomide,(200,s1,DENND2C
Alkylating Agent,DMH,(11.6,s2,DENND2C
Nitro-PAH,6-Nitrochrysene,(50,s2,DENND2C
Other,AFB1,(0.25,s1,DENND2C
PAH,BPDE,(0.125,s3,DENND2C
Aromatic Amine,"2,6-Dimethylaniline",(11,s2,DENND2C
Radiation,SSR,(1.25,s6,DENND2C
Nitro-PAH,"1,8-DNP",(8,s3,DENND2C
Other,AAI,(1.25,s3,AMPD1
Alkylating Agent,MNU,(350,s1,AMPD1
Alkylating Agent,MNU,(350,s2,AMPD1
Other,Sudan,I,s1,AMPD1
Nitro-PAH,"1,8-DNP",(8,s3,NRAS
Nitro-PAH,"1,6-DNP",(0.09,s3,CSDE1
PAH,DBPDE,(0.000625,s3,CSDE1
Alkylating Agent,DMH,(11.6,s2,CSDE1
Drug Therapy,Temozolomide,(200,s2,CSDE1
PAH,DBPDE,(0.000156,s1,SIKE1
Nitro-PAH,"1,8-DNP",(0.125,s3,SIKE1
PAH,DBPDE,(0.000625,s3,SIKE1
PAH,DBADE,(0.109,s1,SDF4
PAH,BPDE,(0.125,s2,PTCHD2
Drug Therapy,Cisplatin,(12.5,s3,SYCP1
Drug Therapy,Cisplatin,(12.5,s3,SYCP1
PAH,DBADE,(0.109,s5,SYCP1
Drug Therapy,Semustine,(150,s1,SYCP1
Metal,Sodium,(meta),s3,SYCP1
Aldehydes,Formaldehyde,(85.5,s1,SYCP1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,SYCP1
PAH,DBADE,(0.109,s5,PTCHD2
Nitro-PAH,6-Nitrochrysene,(0.78,s2,SYCP1
Alkylating Agent,ENU,(400,s4,SYCP1
Nitro-PAH,"1,8-DNP",(8,s1,SYCP1
PAH,DBADE,(0.0313,s3,SYCP1
ROS/NOS,Potassium,bromate,s4,SYCP1
Other,Furan,(100,s2,SYCP1
Control,DMSO,Control,s2,SYCP1
PAH,DBADE,(0.109,s6,PTCHD2
PAH,DBADE,(0.0313,s3,TSHB
Other,Styrene,oxide,s4,TSPAN2
PAH,BaP,(0.39,s2,TSPAN2
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RP4-666F24.3
PAH,DBADE,(0.0313,s3,NGF
Other,"1,4-Benzoquinone",(5,s1,NGF
Alkylating Agent,ENU,(400,s3,NGF
Alkylating Agent,DMH,(11.6,s3,NGF
Drug Therapy,Etoposide,(0.0188,s1,PTCHD2
Drug Therapy,Carboplatin,(5,s2,VANGL1
PAH,DBADE,(0.109,s1,VANGL1
Heterocyclic Amine,MeIQX,(300,s1,CASQ2
Nitro-PAH,"1,6-DNP",(0.09,s1,SLC22A15
PAH,BPDE,(0.125,s1,SLC22A15
Nitro-PAH,"1,8-DNP",(0.125,s2,SLC22A15
Radiation,SSR,(1.25,s4,SLC22A15
Aromatic Amine,Benzidine,(200,s1,MAB21L3
Nitro-PAH,6-Nitrochrysene,(50,s2,SDF4
Radiation,SSR,(1.25,s6,B3GALT6
Alkylating Agent,DES,(0.938,s2,ATP1A1
Metal,Cobalt,(II),s1,ATP1A1
Nitro-PAH,6-Nitrochrysene,(50,s2,ATP1A1
PAH,BPDE,(0.125,s3,ATP1A1
Radiation,Gamma,irradiation,s2,ATP1A1
Other,Propylene,oxide,s3,ATP1A1
Control,H2O,Control,s1,ATP1A1
Nitro-PAH,6-Nitrochrysene,(0.78,s1,RP4-655J12.4
Metal,Lead,(II),s3,RP4-655J12.5
Heterocyclic Amine,MeIQX,(300,s3,RP4-655J12.4
Drug Therapy,Cisplatin,(12.5,s1,RP4-655J12.4
PAH,5-Methylchrysene,(1.6,s3,RP4-655J12.4
Radiation,SSR,(1.25,s4,CD58
Alkylating Agent,DMH,(11.6,s1,CD58
Drug Therapy,Olaparib,(0.625,s2,IGSF3
Other,AAI,(1.25,s3,C1orf137
Other,AAI,(1.25,s1,C1orf137
Nitro-PAH,6-Nitrochrysene,(50,s2,CD2
PAH,5-Methylchrysene,(1.6,s1,CD2
Drug Therapy,Cisplatin,(12.5,s1,PTGFRN
PAH,5-Methylchrysene,(1.6,s3,PTGFRN
Other,Propylene,oxide,s2,PTGFRN
PAH,DBADE,(0.109,s1,PTGFRN
Radiation,SSR,(1.25,s6,PTGFRN
Drug Therapy,Ellipticine,(0.375,s3,PTGFRN
Aromatic Amine,o-Anisidine,(6,s2,PTGFRN
PAH,5-Methylchrysene,(1.6,s2,CD101
PAH,5-Methylchrysene,(1.6,s2,CD101
PAH,DBADE,(0.0313,s1,TTF2
Aromatic Amine,2-Naphthylamine,(200,s4,TTF2
PAH,DBADE,(0.109,s5,TTF2
PAH,5-Methylchrysene,(1.6,s1,TRIM45
Control,Media,Control,s2,DRAXIN
Drug Therapy,Ellipticine,(0.125,s1,VTCN1
Drug Therapy,Mitomycin,C,s3,VTCN1
Other,Sudan,I,s1,VTCN1
Radiation,Gamma,irradiation,s2,VTCN1
Other,MX,(7,s2,VTCN1
PAH,DBADE,(0.109,s1,RP11-39H13.1
ROS/NOS,Potassium,bromate,s5,AGTRAP
Alkylating Agent,ENU,(400,s3,MAN1A2
Drug Therapy,Temozolomide,(200,s3,MAN1A2
PAH,BaP,(0.39,s1,MAN1A2
Metal,Nickel,(II),s4,MAN1A2
Aromatic Amine,2-Naphthylamine,(200,s2,FAM132A
Drug Therapy,Cisplatin,(12.5,s1,AGTRAP
Nitro-PAH,3-NBA,(0.1,s3,C1orf167
